Budget_Category,Trip_Type,Duration_Days,Group_Size,Season,Activity_Preference,Trip_Plan
Low,Relaxing,4,Couple,Spring,Sightseeing,Hampi
Low,Adventure,13,Couple,Spring,Beach,Goa
Medium,Cultural,8,Friends,Autumn,City,Ooty
Low,Relaxing,9,Family,Spring,City,Bengaluru
Medium,Cultural,5,Solo,Winter,Sightseeing,Udaipur
High,Adventure,4,Couple,Autumn,City,Bengaluru
Medium,Cultural,4,Friends,Autumn,City,Bengaluru
High,Relaxing,5,Solo,Autumn,Hiking,Shimla
Medium,Cultural,8,Couple,Autumn,Hiking,Manali
Low,Relaxing,8,Family,Spring,Hiking,Ooty
Medium,Cultural,7,Family,Spring,Hiking,Darjeeling
Medium,Adventure,6,Family,Spring,City,Mumbai
Low,Cultural,5,Couple,Winter,City,Kolkata
Medium,Cultural,2,Solo,Autumn,Hiking,Sikkim
Low,Cultural,5,Family,Summer,City,Bengaluru
Medium,Cultural,4,Solo,Winter,Nature,Andaman
Medium,Relaxing,10,Solo,Autumn,Sightseeing,Udaipur
Low,Cultural,6,Solo,Spring,City,Kerala
High,Cultural,5,Couple,Spring,City,Ooty
Low,Adventure,10,Couple,Autumn,City,Kolkata
Medium,Cultural,4,Couple,Spring,Hiking,Sikkim
Low,Relaxing,3,Solo,Spring,Hiking,Kerala
Medium,Relaxing,10,Couple,Autumn,Sightseeing,Varanasi
Low,Relaxing,9,Friends,Summer,City,Mumbai
Low,Cultural,8,Friends,Autumn,City,Darjeeling
Low,Adventure,7,Couple,Summer,Hiking,Kerala
Medium,Cultural,6,Solo,Autumn,Sightseeing,Agra
Low,Cultural,8,Friends,Summer,Nature,Kerala
Medium,Relaxing,10,Friends,Summer,Beach,Andaman
Medium,Relaxing,3,Solo,Autumn,Hiking,Ooty
Low,Cultural,2,Solo,Winter,Sightseeing,Mysore
High,Adventure,4,Couple,Autumn,City,Kolkata
Low,Relaxing,9,Family,Spring,Sightseeing,Mysore
Medium,Relaxing,4,Solo,Spring,Hiking,Shimla
Low,Relaxing,8,Solo,Winter,Sightseeing,Varanasi
Medium,Cultural,6,Solo,Autumn,City,Mumbai
Low,Relaxing,5,Solo,Autumn,Nature,Andaman
Medium,Relaxing,7,Family,Autumn,Hiking,Andaman
Low,Adventure,6,Solo,Summer,Beach,Andaman
Medium,Adventure,6,Solo,Spring,Beach,Andaman
Low,Relaxing,3,Family,Summer,Sightseeing,Coorg
Medium,Cultural,7,Friends,Winter,City,Delhi
High,Cultural,7,Friends,Spring,City,Udaipur
Low,Cultural,2,Solo,Summer,City,Darjeeling
Low,Cultural,7,Couple,Spring,Hiking,Darjeeling
Medium,Relaxing,9,Family,Autumn,Hiking,Sikkim
High,Relaxing,7,Family,Spring,Hiking,Sikkim
Medium,Relaxing,6,Solo,Summer,City,Kolkata
Medium,Cultural,2,Couple,Summer,Beach,Varanasi
Low,Cultural,7,Family,Autumn,Sightseeing,Varanasi
Low,Adventure,6,Friends,Autumn,City,Bengaluru
Low,Cultural,6,Couple,Summer,Sightseeing,Udaipur
Low,Adventure,6,Friends,Winter,Sightseeing,Udaipur
Low,Adventure,7,Couple,Autumn,Sightseeing,Jaipur
Medium,Relaxing,6,Solo,Summer,Beach,Andaman
Medium,Relaxing,4,Solo,Winter,Sightseeing,Jaipur
Medium,Cultural,8,Solo,Autumn,Beach,Goa
High,Cultural,5,Family,Winter,City,Kolkata
Medium,Cultural,8,Friends,Summer,Sightseeing,Mysore
Medium,Cultural,2,Couple,Summer,Hiking,Shimla
Medium,Relaxing,9,Couple,Spring,Hiking,Leh
Low,Adventure,7,Friends,Summer,Hiking,Ooty
Medium,Adventure,9,Friends,Summer,Nature,Sikkim
Medium,Cultural,4,Couple,Summer,City,Mumbai
Medium,Cultural,3,Couple,Winter,Hiking,Delhi
Medium,Adventure,10,Solo,Spring,Beach,Andaman
Low,Relaxing,9,Friends,Summer,Hiking,Ooty
Low,Relaxing,8,Solo,Winter,Hiking,Manali
High,Cultural,6,Couple,Winter,City,Delhi
Medium,Cultural,3,Family,Winter,Beach,Kerala
Low,Cultural,2,Family,Spring,City,Bengaluru
Medium,Cultural,7,Couple,Spring,City,Delhi
High,Cultural,6,Solo,Winter,Beach,Andaman
Medium,Relaxing,10,Solo,Winter,City,Bengaluru
Medium,Cultural,6,Friends,Spring,Sightseeing,Leh
Medium,Cultural,7,Friends,Summer,Sightseeing,Udaipur
Low,Cultural,5,Friends,Spring,City,Kolkata
Low,Adventure,8,Friends,Spring,Hiking,Sikkim
Low,Relaxing,9,Couple,Spring,City,Delhi
Medium,Adventure,7,Solo,Spring,City,Delhi
Medium,Adventure,12,Family,Summer,Hiking,Leh
Low,Relaxing,5,Couple,Summer,Sightseeing,Mysore
High,Cultural,8,Family,Winter,Sightseeing,Jaipur
Low,Cultural,6,Solo,Winter,Hiking,Shimla
Low,Relaxing,10,Family,Summer,City,Mumbai
Low,Cultural,2,Solo,Summer,Hiking,Leh
Medium,Relaxing,6,Family,Spring,Beach,Andaman
Low,Cultural,5,Friends,Summer,Sightseeing,Hampi
Medium,Relaxing,6,Solo,Winter,Nature,Darjeeling
Low,Relaxing,10,Solo,Summer,Beach,Goa
High,Relaxing,7,Solo,Autumn,Hiking,Leh
Low,Relaxing,7,Couple,Autumn,City,Mumbai
Medium,Cultural,5,Family,Summer,Beach,Kerala
Medium,Relaxing,3,Friends,Spring,Sightseeing,Varanasi
Low,Relaxing,7,Solo,Winter,Sightseeing,Delhi
Medium,Adventure,13,Family,Spring,City,Kolkata
Medium,Adventure,6,Family,Autumn,Nature,Kolkata
Medium,Cultural,4,Solo,Summer,Sightseeing,Agra
Medium,Adventure,12,Solo,Autumn,Nature,Kerala
Medium,Adventure,7,Friends,Winter,Hiking,Shimla
Low,Cultural,4,Couple,Autumn,Sightseeing,Hampi
High,Relaxing,4,Solo,Summer,Sightseeing,Jaipur
Low,Adventure,7,Friends,Winter,City,Delhi
Medium,Cultural,4,Couple,Winter,Hiking,Ooty
Low,Cultural,4,Solo,Summer,Hiking,Sikkim
Low,Adventure,12,Friends,Summer,Nature,Sikkim
Low,Relaxing,6,Couple,Autumn,Sightseeing,Udaipur
Medium,Cultural,7,Friends,Summer,Beach,Kerala
Low,Adventure,11,Family,Winter,Nature,Sikkim
High,Relaxing,7,Couple,Spring,Beach,Kerala
Medium,Relaxing,10,Friends,Winter,Beach,Andaman
Medium,Relaxing,4,Family,Winter,Sightseeing,Agra
Low,Cultural,2,Couple,Autumn,City,Mumbai
Low,Adventure,6,Friends,Autumn,Hiking,Manali
Medium,Adventure,6,Friends,Winter,Sightseeing,Mysore
Low,Relaxing,5,Friends,Winter,Hiking,Darjeeling
Medium,Cultural,3,Friends,Winter,Hiking,Hampi
Medium,Adventure,8,Family,Winter,Beach,Kerala
High,Relaxing,10,Solo,Winter,Hiking,Goa
Low,Relaxing,3,Couple,Autumn,Hiking,Ooty
Low,Adventure,10,Family,Summer,Beach,Goa
Medium,Cultural,4,Family,Winter,City,Hampi
High,Relaxing,4,Solo,Summer,Nature,Coorg
High,Cultural,5,Family,Spring,City,Mumbai
Medium,Cultural,3,Family,Spring,City,Bengaluru
Low,Relaxing,7,Friends,Winter,Nature,Kerala
Low,Cultural,3,Friends,Spring,Beach,Shimla
High,Adventure,6,Friends,Autumn,Hiking,Goa
Low,Cultural,5,Family,Spring,Sightseeing,Agra
Medium,Cultural,4,Family,Spring,Beach,Goa
Low,Cultural,6,Couple,Autumn,Nature,Andaman
Low,Relaxing,6,Couple,Spring,City,Delhi
High,Relaxing,5,Solo,Summer,Hiking,Delhi
Low,Cultural,8,Solo,Summer,Beach,Andaman
Low,Relaxing,4,Friends,Autumn,Beach,Andaman
Medium,Relaxing,7,Solo,Autumn,Sightseeing,Agra
Medium,Adventure,11,Solo,Summer,Beach,Goa
Low,Relaxing,7,Family,Summer,Hiking,Sikkim
Low,Cultural,3,Couple,Summer,Sightseeing,Delhi
Low,Adventure,8,Friends,Summer,Sightseeing,Jaipur
Low,Adventure,5,Solo,Spring,City,Bengaluru
Medium,Adventure,10,Family,Autumn,City,Kolkata
High,Cultural,6,Family,Summer,City,Delhi
High,Relaxing,7,Family,Spring,Hiking,Ooty
Medium,Cultural,7,Solo,Autumn,Nature,Darjeeling
Medium,Relaxing,5,Family,Summer,Beach,Bengaluru
Medium,Relaxing,6,Solo,Spring,City,Kolkata
Medium,Adventure,6,Solo,Winter,Hiking,Sikkim
Medium,Relaxing,10,Friends,Summer,Beach,Goa
Medium,Relaxing,10,Family,Autumn,City,Bengaluru
Medium,Adventure,7,Solo,Spring,Beach,Andaman
Medium,Relaxing,9,Friends,Spring,Hiking,Shimla
High,Cultural,7,Solo,Summer,Sightseeing,Agra
Medium,Relaxing,9,Friends,Autumn,Beach,Andaman
High,Relaxing,8,Friends,Winter,Beach,Goa
Medium,Adventure,7,Family,Autumn,Sightseeing,Jaipur
Medium,Adventure,9,Couple,Winter,Beach,Kerala
Low,Relaxing,5,Couple,Spring,City,Mumbai
Medium,Cultural,6,Friends,Autumn,Beach,Kerala
Low,Cultural,5,Friends,Spring,Hiking,Darjeeling
Low,Adventure,4,Friends,Summer,Sightseeing,Udaipur
High,Cultural,6,Friends,Summer,Beach,Andaman
Low,Cultural,2,Friends,Autumn,City,Bengaluru
Medium,Relaxing,10,Solo,Spring,Nature,Mumbai
Medium,Relaxing,8,Family,Summer,Sightseeing,Agra
Low,Adventure,10,Solo,Autumn,City,Delhi
Low,Adventure,14,Family,Summer,Hiking,Ooty
Low,Cultural,4,Friends,Autumn,Beach,Kerala
High,Cultural,5,Solo,Autumn,City,Mumbai
High,Relaxing,5,Friends,Spring,Hiking,Darjeeling
High,Cultural,8,Solo,Autumn,Beach,Kerala
Medium,Cultural,2,Couple,Autumn,Beach,Kerala
Medium,Cultural,3,Friends,Spring,City,Kolkata
Medium,Relaxing,7,Friends,Summer,Nature,Andaman
High,Cultural,2,Couple,Winter,Sightseeing,Delhi
Medium,Cultural,8,Solo,Summer,Nature,Sikkim
Medium,Relaxing,8,Couple,Winter,Nature,Udaipur
Low,Adventure,4,Solo,Summer,Beach,Goa
Medium,Adventure,11,Couple,Spring,City,Delhi
Medium,Adventure,7,Solo,Spring,City,Kolkata
Low,Relaxing,10,Solo,Spring,Beach,Andaman
Medium,Relaxing,7,Couple,Autumn,Sightseeing,Hampi
Low,Adventure,9,Solo,Autumn,Hiking,Sikkim
Medium,Cultural,5,Solo,Summer,Sightseeing,Varanasi
Low,Relaxing,4,Solo,Summer,Nature,Kolkata
Medium,Relaxing,5,Family,Winter,City,Kolkata
Low,Adventure,11,Couple,Spring,Nature,Coorg
Low,Relaxing,10,Family,Autumn,Beach,Kerala
Medium,Adventure,9,Family,Summer,Hiking,Ooty
Medium,Cultural,5,Couple,Summer,City,Bengaluru
Low,Cultural,4,Couple,Autumn,City,Bengaluru
Medium,Relaxing,10,Friends,Spring,City,Mumbai
Medium,Cultural,8,Friends,Summer,City,Kerala
Medium,Adventure,6,Couple,Winter,City,Kolkata
Medium,Relaxing,3,Family,Summer,Beach,Kerala
Medium,Adventure,12,Solo,Autumn,Sightseeing,Udaipur
Low,Relaxing,9,Couple,Summer,Sightseeing,Manali
Medium,Relaxing,10,Family,Autumn,Hiking,Shimla
High,Adventure,14,Friends,Winter,City,Varanasi
Low,Adventure,14,Family,Winter,City,Bengaluru
Low,Relaxing,10,Couple,Spring,Sightseeing,Hampi
High,Adventure,5,Couple,Autumn,Sightseeing,Varanasi
Medium,Adventure,9,Solo,Spring,City,Kolkata
Low,Adventure,6,Couple,Winter,Sightseeing,Delhi
Low,Relaxing,6,Couple,Spring,Beach,Kerala
Low,Cultural,4,Family,Spring,City,Mumbai
High,Relaxing,8,Couple,Spring,Sightseeing,Andaman
Medium,Cultural,8,Family,Autumn,Beach,Kerala
Medium,Adventure,8,Family,Autumn,Sightseeing,Delhi
Medium,Adventure,10,Solo,Spring,City,Delhi
High,Relaxing,8,Family,Autumn,Hiking,Shimla
Low,Relaxing,6,Solo,Summer,Sightseeing,Agra
Medium,Adventure,6,Couple,Winter,Hiking,Sikkim
Low,Relaxing,7,Friends,Summer,City,Mumbai
High,Adventure,4,Couple,Autumn,Nature,Sikkim
Low,Cultural,5,Solo,Winter,City,Bengaluru
Medium,Cultural,6,Friends,Spring,City,Bengaluru
